experiment;total_predictions;correct_predictions;not_embedded_sentences;accuracy
AOC/en/multi/All/10/Unique;226;7;0;3.0973451327433628
AOC/en/multi/All/11/Unique;226;7;0;3.0973451327433628
AOC/en/multi/All/12/Unique;226;17;0;7.52212389380531
AOC/en/multi/WithCLS/1/Average;226;8;0;3.5398230088495577
AOC/en/multi/WithCLS/2/Average;226;11;0;4.867256637168142
AOC/en/multi/WithCLS/3/Average;226;9;0;3.982300884955752
AOC/en/multi/WithCLS/4/Average;226;11;0;4.867256637168142
AOC/en/multi/WithCLS/5/Average;226;10;0;4.424778761061947
AOC/en/multi/WithCLS/6/Average;226;10;0;4.424778761061947
AOC/en/multi/WithCLS/7/Average;226;10;0;4.424778761061947
AOC/en/multi/WithCLS/8/Average;226;9;0;3.982300884955752
AOC/en/multi/WithCLS/9/Average;226;9;0;3.982300884955752
AOC/en/multi/WithCLS/10/Average;226;9;0;3.982300884955752
AOC/en/multi/WithCLS/11/Average;226;9;0;3.982300884955752
AOC/en/multi/WithCLS/12/Average;226;9;0;3.982300884955752
AOC/en/multi/WithCLS/0/First;226;9;0;3.982300884955752
AOC/en/multi/WithCLS/1/First;226;10;0;4.424778761061947
AOC/en/multi/WithCLS/2/First;226;10;0;4.424778761061947
AOC/en/multi/WithCLS/3/First;226;9;0;3.982300884955752
AOC/en/multi/WithCLS/4/First;226;9;0;3.982300884955752
AOC/en/multi/WithCLS/5/First;226;10;0;4.424778761061947
AOC/en/multi/WithCLS/0/Last;226;5;0;2.2123893805309733
AOC/en/multi/WithCLS/1/Last;226;11;0;4.867256637168142
AOC/en/multi/WithCLS/2/Last;226;9;0;3.982300884955752
AOC/en/multi/WithCLS/3/Last;226;9;0;3.982300884955752
AOC/en/multi/WithCLS/4/Last;226;9;0;3.982300884955752
AOC/en/multi/WithCLS/5/Last;226;10;0;4.424778761061947
AOC/en/multi/WithCLS/0/Unique;226;8;0;3.5398230088495577
AOC/en/multi/WithCLS/1/Unique;226;7;0;3.0973451327433628
AOC/en/multi/WithCLS/2/Unique;226;9;0;3.982300884955752
AOC/en/multi/WithCLS/3/Unique;226;10;0;4.424778761061947
AOC/en/multi/WithCLS/4/Unique;226;9;0;3.982300884955752
AOC/en/multi/WithCLS/5/Unique;226;9;0;3.982300884955752
AOC/en/multi/WithCLS/6/Unique;226;8;0;3.5398230088495577
AOC/en/multi/WithCLS/7/Unique;226;13;0;5.752212389380531
AOC/en/multi/WithCLS/8/Unique;226;9;0;3.982300884955752
AOC/en/multi/WithCLS/9/Unique;226;9;0;3.982300884955752
AOC/en2/mono/NoSpec/1/Average;217;10;9;4.6082949308755765
AOC/en2/mono/NoSpec/2/Average;217;12;9;5.529953917050691
AOC/en2/mono/NoSpec/3/Average;217;13;9;5.990783410138248
AOC/en2/mono/NoSpec/4/Average;217;13;9;5.990783410138248
AOC/en2/mono/NoSpec/5/Average;217;13;9;5.990783410138248
AOC/en2/mono/NoSpec/6/Average;217;13;9;5.990783410138248
AOC/en/mono/NoSpec/1/Average;217;3;9;1.3824884792626728
AOC/en2/mono/NoSpec/7/Average;217;13;9;5.990783410138248
AOC/en/mono/NoSpec/2/Average;217;6;9;2.7649769585253456
AOC/en/multi/WithCLS/10/Unique;226;6;0;2.6548672566371683
AOC/en2/mono/NoSpec/8/Average;217;13;9;5.990783410138248
AOC/en/mono/NoSpec/3/Average;217;5;9;2.3041474654377883
AOC/en2/mono/NoSpec/9/Average;217;14;9;6.451612903225806
AOC/en/mono/NoSpec/4/Average;217;4;9;1.8433179723502304
AOC/en2/mono/NoSpec/10/Average;217;14;9;6.451612903225806
AOC/en/mono/NoSpec/5/Average;217;4;9;1.8433179723502304
AOC/en/mono/NoSpec/6/Average;217;4;9;1.8433179723502304
AOC/en2/mono/NoSpec/11/Average;217;14;9;6.451612903225806
AOC/en/mono/NoSpec/7/Average;217;5;9;2.3041474654377883
AOC/en2/mono/NoSpec/12/Average;217;13;9;5.990783410138248
AOC/en/mono/NoSpec/8/Average;217;5;9;2.3041474654377883
AOC/en2/mono/NoSpec/13/Average;217;13;9;5.990783410138248
AOC/en/mono/NoSpec/9/Average;217;6;9;2.7649769585253456
AOC/en2/mono/NoSpec/14/Average;217;13;9;5.990783410138248
AOC/en/mono/NoSpec/10/Average;217;8;9;3.686635944700461
AOC/en2/mono/NoSpec/15/Average;217;13;9;5.990783410138248
AOC/en/mono/NoSpec/11/Average;217;10;9;4.6082949308755765
AOC/en2/mono/NoSpec/16/Average;217;13;9;5.990783410138248
AOC/en/mono/NoSpec/12/Average;217;12;9;5.529953917050691
AOC/en2/mono/NoSpec/17/Average;217;13;9;5.990783410138248
AOC/en/mono/NoSpec/0/First;217;5;9;2.3041474654377883
ISO/en/multi/NoSpec/1/Average;217;13;9;5.990783410138248
ISO/en/multi/NoSpec/2/Average;217;13;9;5.990783410138248
ISO/en/multi/NoSpec/3/Average;217;13;9;5.990783410138248
ISO/en/multi/NoSpec/4/Average;217;13;9;5.990783410138248
ISO/en/multi/NoSpec/5/Average;217;13;9;5.990783410138248
AOC/en/multi/WithCLS/11/Unique;226;6;0;2.6548672566371683
ISO/en2/mono/NoSpec/1/Average;217;15;9;6.912442396313365
ISO/en/mono/NoSpec/1/Average;217;13;9;5.990783410138248
ISO/en2/mono/NoSpec/2/Average;217;13;9;5.990783410138248
ISO/en/mono/NoSpec/2/Average;217;13;9;5.990783410138248
ISO/en2/mono/NoSpec/3/Average;217;14;9;6.451612903225806
ISO/en/mono/NoSpec/3/Average;217;13;9;5.990783410138248
ISO/en2/mono/NoSpec/4/Average;217;14;9;6.451612903225806
ISO/en/mono/NoSpec/4/Average;217;13;9;5.990783410138248
ISO/en2/mono/NoSpec/5/Average;217;15;9;6.912442396313365
ISO/en/mono/NoSpec/5/Average;217;13;9;5.990783410138248
ISO/en2/mono/NoSpec/6/Average;217;15;9;6.912442396313365
ISO/en/mono/NoSpec/6/Average;217;13;9;5.990783410138248
ISO/en2/mono/NoSpec/7/Average;217;13;9;5.990783410138248
ISO/en/multi/NoSpec/6/Average;217;13;9;5.990783410138248
ISO/en/mono/NoSpec/7/Average;217;9;9;4.147465437788019
ISO/en/multi/NoSpec/7/Average;217;13;9;5.990783410138248
ISO/en2/mono/NoSpec/8/Average;217;15;9;6.912442396313365
ISO/en/mono/NoSpec/8/Average;217;9;9;4.147465437788019
ISO/en/multi/NoSpec/8/Average;217;13;9;5.990783410138248
ISO/en2/mono/NoSpec/9/Average;217;12;9;5.529953917050691
ISO/en/mono/NoSpec/9/Average;217;10;9;4.6082949308755765
ISO/en/multi/NoSpec/9/Average;217;13;9;5.990783410138248
ISO/en2/mono/NoSpec/10/Average;217;13;9;5.990783410138248
ISO/en/mono/NoSpec/10/Average;217;11;9;5.0691244239631335
